symptom_iri	doid_iri	method	score	doid_name	symptom_name	symptom_definition
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_1526	keyword	0.6764705657958985	panniculitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_9588	keyword	0.6704225158691406	encephalitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_10952	keyword	0.6625766754150391	nephritis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_2568	keyword	0.6625386810302735	cervicitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_3901	keyword	0.6625	vulvitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_11374	keyword	0.8235294342041015	anal spasm	abdominal cramp	
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_8463	keyword	0.8057553863525391	corneal ulcer	abdominal cramp	
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_11267	keyword	0.8057553863525391	keratomalacia	abdominal cramp	
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_10499	keyword	0.7972028350830078	orbital granuloma	abdominal cramp	
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_7319	keyword	0.7972028350830078	axonal neuropathy	abdominal cramp	
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_9779	keyword	0.8888888549804688	bowel dysfunction	abdominal distention	
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_1237	keyword	0.8840579986572266	corneal degeneration	abdominal distention	
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_3558	keyword	0.8840579986572266	duodenal obstruction	abdominal distention	
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_2569	keyword	0.878787841796875	retinal drusen	abdominal distention	
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_9767	keyword	0.8759123992919922	myocardial stunning	abdominal distention	
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_8452	keyword	0.8645161437988281	obsolete malnutrition	obsolete acute enteritis in newborns	
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_7471	keyword	0.8606060791015625	obsolete deep penetrating nevus	obsolete acute enteritis in newborns	
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_4025	keyword	0.8552631378173828	obsolete steatitis	obsolete acute enteritis in newborns	
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_0050065	keyword	0.8536585235595703	obsolete cutaneous listeriosis	obsolete acute enteritis in newborns	
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_0050070	keyword	0.85	obsolete plague meningitis	obsolete acute enteritis in newborns	
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_10141	keyword	0.8951049041748047	obsolete asthenopia	obsolete arrested moulting	
